,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
0,Shivam Properties,"Shivam Properties, Najafgarh Road, Nawada Extn, Uttam Nagar, Delhi 110059, India",1332,"[{'lat': 28.62028, 'lng': 77.04483}]",28.62039,77.0448,110059,,here:pds:place:356ttnfc-f19339dce0f13b2bdf4a0d1dd201f1c7
1,Kohinoor Guest House-Vikaspuri,"Kohinoor Guest House-Vikaspuri, Guru Virjanand Marg, Block C, Vikas Puri, Delhi 110018, India",4675,"[{'lat': 28.63858, 'lng': 77.07318}]",28.63851,77.07318,110018,,here:pds:place:356ttnfc-13a79363883a41eb9a57d7f3633bc6ef
2,Stay Royal Bed N Breakfast,"Stay Royal Bed N Breakfast, Jail Road, Maya Enclave, Mayapuri, Delhi 110064, India",6641,"[{'lat': 28.62105, 'lng': 77.10485}]",28.62092,77.10485,110064,[{'phone': [{'value': '+919212243611'}]}],here:pds:place:356aabd1-9c7b9cf86e6409c61d67b8c2a75be91d
3,Green PG,"Green PG, Market Road, Sector 23, Gurugram 122017, India",11174,"[{'lat': 28.5102, 'lng': 77.0507}]",28.51015,77.05069,122017,,here:pds:place:356ttnf1-e3c810412f09412490e0508617f7d3d7
4,Vasant Apartment,"Vasant Apartment, Vasant Village, Vasant Vihar, Delhi 110057, India",12243,"[{'lat': 28.57407, 'lng': 77.15647}]",28.5741,77.1565,110057,,here:pds:place:356jx7ps-8e58493aea0d0c1e17bc2eb2531bbc8d
5,Block E Vasant Vihar-Gate No 1,"Block E Vasant Vihar-Gate No 1, Paschimi Marg, Block D, Vasant Vihar, Delhi 110057, India",12562,"[{'lat': 28.5645, 'lng': 77.15587}]",28.56455,77.15574,110057,,here:pds:place:356jx7ps-94e722864b3902cee70ab4d28f36735f
6,Air India Housing Colony-Gate No 1,"Air India Housing Colony-Gate No 1, Poorvi Marg, Air India Housing Colony, Vasant Vihar, Delhi 110057, India",12605,"[{'lat': 28.55917, 'lng': 77.15331}]",28.55915,77.15333,110057,,here:pds:place:356jx7ps-39db02c85e5b0d7ce240a1d9251e7122
7,Rbi Officer Flats,"Rbi Officer Flats, Poorvi Marg, Block D, Vasant Vihar, Delhi 110057, India",12636,"[{'lat': 28.55971, 'lng': 77.15403}]",28.55974,77.15401,110057,,here:pds:place:356ttnf7-fe34bf8822054c89b7c6cf6abe9eea81
8,Anand Niketan-Gate No 5,"Anand Niketan-Gate No 5, Anand Niketan-Block D, Moti Bagh, Delhi 110021, India",12696,"[{'lat': 28.58152, 'lng': 77.16382}]",28.58164,77.16392,110021,,here:pds:place:356jx7ps-7b8ceaf69f7e044f40bf7c0dabf721e6
9,Anand Niketan-Gate No 6,"Anand Niketan-Gate No 6, Anand Niketan-Block D, Moti Bagh, Delhi 110021, India",12701,"[{'lat': 28.58059, 'lng': 77.16359}]",28.58061,77.16366,110021,,here:pds:place:356jx7ps-0816631bcf2b02210a74a322ef1f053d
